开始时间||检查类别||检查项||比较方式||阈值||巡检用时||检查指标||指标数值||检查结果
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb161||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb162||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb163||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb164||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb165||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb166||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb167||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb168||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb169||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb17||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb170||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb171||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb172||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb173||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb174||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb175||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb176||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb177||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb178||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb179||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb18||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb180||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb181||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb182||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb183||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb184||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb185||无TiFlash副本||异常_已有
